"University Name","Scholarship Name","Target","Application Window/Deadline","Intake/Academic Year","Application Link/Source"
"Malaysian International Scholarship (MIS)","Various Master's & PhD Scholarships","International","June 10 - June 30, 2025 (2025 intake) | March 04 - April 03, 2026 (2026 intake)","2025/2026 & 2026/2027","https://mohe.gov.my"
"Universiti Kebangsaan Malaysia (UKM)","UKM Vice-Chancellor Scholarships","International","July 01 - July 14","Postgraduate","https://www.ukm.my"
"Asia Pacific University (APU)","APU Malaysian Scholarships & Merit Awards 2026","Local","Deadline: March 31, 2026","2026 Intake","https://www.apu.edu.my"
"Asia Pacific University (APU)","APU International Students Scholarships & Merit Awards 2026","International","Deadline: March 31, 2026","2026 Intake","https://www.apu.edu.my"
"Taylor's University","Taylor's Cultural Diversity Scholarship 2026","All","Sept 01, 2025 - Feb 01, 2026","2026 Intake","https://university.taylors.edu.my"
"Taylor's University","Taylor's PPE Exclusive Scholarship","All","Feb 08, 2026 | April 19, 2026 | Sept 13, 2026","2026 Intake","https://university.taylors.edu.my"
"Sunway University","Sunway Cultural & Sports Scholarship","All","March 21, 2025 (Jan/Apr intake) | August 01, 2025 (Aug intake)","2025 Intake","https://sunway.edu.my"
"Sunway University","Sunway Excellence Scholarship","All","Jan 08 | Apr 09 | Sept 03 | March 02 | July 06 | Sept 07 (for various 2026 intakes)","2026 Intake","https://sunway.edu.my"
"Sunway University","Postgraduate by Research Scholarship 2026","All","Deadline: March 31, 2026","2026 Intake","https://sunway.edu.my"
"Monash University Malaysia","Graduate Research Scholarships","International & Local","Round 1: Feb 13, 2026 | Round 2: Apr 30, 2026 | Round 3: July 31, 2026 | Round 4: Oct 01, 2026","2026 Intake","https://www.monash.edu.my"
"Monash University Malaysia","Monash Silver Jubilee Scholarship","All","Deadline: Oct 31 (Annual)","Annual","https://www.monash.edu.my"
"Monash University Malaysia","Monash Pharmacy Excellence Scholarship","All","Deadline: January 31","Annual","https://www.monash.edu.my"
"Yayasan UEM","Undergraduate Global Scholarship 2026","Local","Deadline: December 31, 2026","2026 Intake","https://www.yayasanuem.com"
"Kuok Foundation","Kuok Foundation Undergraduate Scholarships 2026","Local","Opens: January 20, 2026","2026 Intake","https://kuokfoundation.org"
"Multimedia University (MMU)","MMU Merit Scholarships","Local & International","Deadlines usually follow intake dates (March/July/Oct)","Various","https://www.mmu.edu.my"
"Universiti Malaya (UM)","UM High Achiever Scholarship","Local & International","Deadlines vary by faculty, typically 2 months before intake","Various","https://www.um.edu.my"
"Universiti Teknologi Malaysia (UTM)","UTM International Student Scholarship","International","Aligned with intake application (March/September)","Various","https://www.utm.my"
"Universiti Putra Malaysia (UPM)","UPM Graduate Research Assistantship (GRA)","All","Ongoing / Aligned with research project availability","Postgraduate","https://www.upm.edu.my"
